subject,trial,dominant_leg,mot_file,c3d_file,emg_file,output_csv,start_grf_idx,start_time_sec,end_mocap_idx,status
S04,4,R,D:\RESEARCH\STW_dataset\Extracted\S04\ExpData\Mocap\grfResults\stw4.mot,D:\RESEARCH\STW_dataset\Extracted\S04\ExpData\Mocap\stw4.c3d,D:\RESEARCH\STW_dataset\Extracted\S04\ExpData\EMG and IMU\Processed_Normalized_EMG\S04_stw4_processed_normalized_emg.csv,D:\RESEARCH\STW_dataset\Extracted\S04\ExpData\EMG and IMU\Cropped_EMG_RiseToHeelStrike\S04_stw4_cropped_rise_to_hs_emg.csv,3830,3.83,1172,success
S04,5,R,D:\RESEARCH\STW_dataset\Extracted\S04\ExpData\Mocap\grfResults\stw5.mot,D:\RESEARCH\STW_dataset\Extracted\S04\ExpData\Mocap\stw5.c3d,D:\RESEARCH\STW_dataset\Extracted\S04\ExpData\EMG and IMU\Processed_Normalized_EMG\S04_stw5_processed_normalized_emg.csv,D:\RESEARCH\STW_dataset\Extracted\S04\ExpData\EMG and IMU\Cropped_EMG_RiseToHeelStrike\S04_stw5_cropped_rise_to_hs_emg.csv,3490,3.49,1096,success
S05,1,R,D:\RESEARCH\STW_dataset\Extracted\S05\ExpData\Mocap\grfResults\stw1.mot,D:\RESEARCH\STW_dataset\Extracted\S05\ExpData\Mocap\stw1.c3d,D:\RESEARCH\STW_dataset\Extracted\S05\ExpData\EMG and IMU\Processed_Normalized_EMG\S05_stw1_processed_normalized_emg.csv,D:\RESEARCH\STW_dataset\Extracted\S05\ExpData\EMG and IMU\Cropped_EMG_RiseToHeelStrike\S05_stw1_cropped_rise_to_hs_emg.csv,3054,3.054,903,success
S07,1,R,D:\RESEARCH\STW_dataset\Extracted\S07\ExpData\Mocap\grfResults\stw1.mot,D:\RESEARCH\STW_dataset\Extracted\S07\ExpData\Mocap\stw1.c3d,D:\RESEARCH\STW_dataset\Extracted\S07\ExpData\EMG and IMU\Processed_Normalized_EMG\S07_stw1_processed_normalized_emg.csv,D:\RESEARCH\STW_dataset\Extracted\S07\ExpData\EMG and IMU\Cropped_EMG_RiseToHeelStrike\S07_stw1_cropped_rise_to_hs_emg.csv,2793,2.793,1006,success
S07,2,R,D:\RESEARCH\STW_dataset\Extracted\S07\ExpData\Mocap\grfResults\stw2.mot,D:\RESEARCH\STW_dataset\Extracted\S07\ExpData\Mocap\stw2.c3d,D:\RESEARCH\STW_dataset\Extracted\S07\ExpData\EMG and IMU\Processed_Normalized_EMG\S07_stw2_processed_normalized_emg.csv,D:\RESEARCH\STW_dataset\Extracted\S07\ExpData\EMG and IMU\Cropped_EMG_RiseToHeelStrike\S07_stw2_cropped_rise_to_hs_emg.csv,2177,2.177,826,success
S07,3,R,D:\RESEARCH\STW_dataset\Extracted\S07\ExpData\Mocap\grfResults\stw3.mot,D:\RESEARCH\STW_dataset\Extracted\S07\ExpData\Mocap\stw3.c3d,D:\RESEARCH\STW_dataset\Extracted\S07\ExpData\EMG and IMU\Processed_Normalized_EMG\S07_stw3_processed_normalized_emg.csv,D:\RESEARCH\STW_dataset\Extracted\S07\ExpData\EMG and IMU\Cropped_EMG_RiseToHeelStrike\S07_stw3_cropped_rise_to_hs_emg.csv,1281,1.281,939,success
S07,4,R,D:\RESEARCH\STW_dataset\Extracted\S07\ExpData\Mocap\grfResults\stw4.mot,D:\RESEARCH\STW_dataset\Extracted\S07\ExpData\Mocap\stw4.c3d,D:\RESEARCH\STW_dataset\Extracted\S07\ExpData\EMG and IMU\Processed_Normalized_EMG\S07_stw4_processed_normalized_emg.csv,D:\RESEARCH\STW_dataset\Extracted\S07\ExpData\EMG and IMU\Cropped_EMG_RiseToHeelStrike\S07_stw4_cropped_rise_to_hs_emg.csv,2859,2.859,970,success
S07,5,R,D:\RESEARCH\STW_dataset\Extracted\S07\ExpData\Mocap\grfResults\stw5.mot,D:\RESEARCH\STW_dataset\Extracted\S07\ExpData\Mocap\stw5.c3d,D:\RESEARCH\STW_dataset\Extracted\S07\ExpData\EMG and IMU\Processed_Normalized_EMG\S07_stw5_processed_normalized_emg.csv,D:\RESEARCH\STW_dataset\Extracted\S07\ExpData\EMG and IMU\Cropped_EMG_RiseToHeelStrike\S07_stw5_cropped_rise_to_hs_emg.csv,3084,3.084,1036,success
S08,1,R,D:\RESEARCH\STW_dataset\Extracted\S08\ExpData\Mocap\grfResults\stw1.mot,D:\RESEARCH\STW_dataset\Extracted\S08\ExpData\Mocap\stw1.c3d,D:\RESEARCH\STW_dataset\Extracted\S08\ExpData\EMG and IMU\Processed_Normalized_EMG\S08_stw1_processed_normalized_emg.csv,D:\RESEARCH\STW_dataset\Extracted\S08\ExpData\EMG and IMU\Cropped_EMG_RiseToHeelStrike\S08_stw1_cropped_rise_to_hs_emg.csv,2677,2.677,939,success
S08,2,R,D:\RESEARCH\STW_dataset\Extracted\S08\ExpData\Mocap\grfResults\stw2.mot,D:\RESEARCH\STW_dataset\Extracted\S08\ExpData\Mocap\stw2.c3d,D:\RESEARCH\STW_dataset\Extracted\S08\ExpData\EMG and IMU\Processed_Normalized_EMG\S08_stw2_processed_normalized_emg.csv,D:\RESEARCH\STW_dataset\Extracted\S08\ExpData\EMG and IMU\Cropped_EMG_RiseToHeelStrike\S08_stw2_cropped_rise_to_hs_emg.csv,1999,1.999,1221,success
S08,3,R,D:\RESEARCH\STW_dataset\Extracted\S08\ExpData\Mocap\grfResults\stw3.mot,D:\RESEARCH\STW_dataset\Extracted\S08\ExpData\Mocap\stw3.c3d,D:\RESEARCH\STW_dataset\Extracted\S08\ExpData\EMG and IMU\Processed_Normalized_EMG\S08_stw3_processed_normalized_emg.csv,D:\RESEARCH\STW_dataset\Extracted\S08\ExpData\EMG and IMU\Cropped_EMG_RiseToHeelStrike\S08_stw3_cropped_rise_to_hs_emg.csv,3681,3.681,1114,success
