muscle_column,emg_fs,start_grf_idx,end_mocap_idx,mapped_start_emg_idx,mapped_end_emg_idx,cropped_length,status,subject,trial
Vastus Medialis (%),1778,2888,994,5135,8837,3702,success,S09,5
Semitendinosus (%),1259,2888,994,3636,6257,2621,success,S09,5
Bicep Femoris (%),1259,2888,994,3636,6257,2621,success,S09,5
Tibialis Anterior (%),1259,3411,1093,4294,6880,2586,success,S10,1
Gastrocnemius Medialis (%),1778,3411,1093,6065,9717,3652,success,S10,1
Gastrocnemius Lateralis (%),1778,3411,1093,6065,9717,3652,success,S10,1
Rectus Femoris (%),1259,3411,1093,4294,6880,2586,success,S10,1
Vastus Lateralis (%),1778,3411,1093,6065,9717,3652,success,S10,1
Vastus Medialis (%),1778,3411,1093,6065,9717,3652,success,S10,1
Semitendinosus (%),1259,3411,1093,4294,6880,2586,success,S10,1
Bicep Femoris (%),1259,3411,1093,4294,6880,2586,success,S10,1
Tibialis Anterior (%),1259,4998,1410,6292,8876,2584,success,S10,2
Gastrocnemius Medialis (%),1778,4998,1410,8886,12535,3649,success,S10,2
Gastrocnemius Lateralis (%),1778,4998,1410,8886,12535,3649,success,S10,2
Rectus Femoris (%),1259,4998,1410,6292,8876,2584,success,S10,2
Vastus Lateralis (%),1778,4998,1410,8886,12535,3649,success,S10,2
Vastus Medialis (%),1778,4998,1410,8886,12535,3649,success,S10,2
Semitendinosus (%),1259,4998,1410,6292,8876,2584,success,S10,2
Bicep Femoris (%),1259,4998,1410,6292,8876,2584,success,S10,2
Tibialis Anterior (%),1259,3381,1087,4257,6843,2586,success,S10,3
Gastrocnemius Medialis (%),1778,3381,1087,6011,9663,3652,success,S10,3
Gastrocnemius Lateralis (%),1778,3381,1087,6011,9663,3652,success,S10,3
Rectus Femoris (%),1259,3381,1087,4257,6843,2586,success,S10,3
Vastus Lateralis (%),1778,3381,1087,6011,9663,3652,success,S10,3
Vastus Medialis (%),1778,3381,1087,6011,9663,3652,success,S10,3
Semitendinosus (%),1259,3381,1087,4257,6843,2586,success,S10,3
Bicep Femoris (%),1259,3381,1087,4257,6843,2586,success,S10,3
Tibialis Anterior (%),1259,3990,1209,5023,7611,2588,success,S10,4
Gastrocnemius Medialis (%),1778,3990,1209,7094,10748,3654,success,S10,4
Gastrocnemius Lateralis (%),1778,3990,1209,7094,10748,3654,success,S10,4
Rectus Femoris (%),1259,3990,1209,5023,7611,2588,success,S10,4
Vastus Lateralis (%),1778,3990,1209,7094,10748,3654,success,S10,4
Vastus Medialis (%),1778,3990,1209,7094,10748,3654,success,S10,4
Semitendinosus (%),1259,3990,1209,5023,7611,2588,success,S10,4
Bicep Femoris (%),1259,3990,1209,5023,7611,2588,success,S10,4
Tibialis Anterior (%),1259,3761,1168,4735,7353,2618,success,S10,5
Gastrocnemius Medialis (%),1778,3761,1168,6687,10384,3697,success,S10,5
Gastrocnemius Lateralis (%),1778,3761,1168,6687,10384,3697,success,S10,5
Rectus Femoris (%),1259,3761,1168,4735,7353,2618,success,S10,5
Vastus Lateralis (%),1778,3761,1168,6687,10384,3697,success,S10,5
Vastus Medialis (%),1778,3761,1168,6687,10384,3697,success,S10,5
Semitendinosus (%),1259,3761,1168,4735,7353,2618,success,S10,5
Bicep Femoris (%),1259,3761,1168,4735,7353,2618,success,S10,5
Tibialis Anterior (%),1259,3442,1132,4333,7126,2793,success,S12,1
Gastrocnemius Medialis (%),1778,3442,1132,6120,10063,3943,success,S12,1
Gastrocnemius Lateralis (%),1778,3442,1132,6120,10063,3943,success,S12,1
Rectus Femoris (%),1259,3442,1132,4333,7126,2793,success,S12,1
Vastus Lateralis (%),1778,3442,1132,6120,10063,3943,success,S12,1
Vastus Medialis (%),1778,3442,1132,6120,10063,3943,success,S12,1
Semitendinosus (%),1259,3442,1132,4333,7126,2793,success,S12,1
Bicep Femoris (%),1259,3442,1132,4333,7126,2793,success,S12,1
Tibialis Anterior (%),1259,3361,1103,4231,6943,2712,success,S12,2
Gastrocnemius Medialis (%),1778,3361,1103,5976,9806,3830,success,S12,2
Gastrocnemius Lateralis (%),1778,3361,1103,5976,9806,3830,success,S12,2
Rectus Femoris (%),1259,3361,1103,4231,6943,2712,success,S12,2
Vastus Lateralis (%),1778,3361,1103,5976,9806,3830,success,S12,2
Vastus Medialis (%),1778,3361,1103,5976,9806,3830,success,S12,2
Semitendinosus (%),1259,3361,1103,4231,6943,2712,success,S12,2
Bicep Femoris (%),1259,3361,1103,4231,6943,2712,success,S12,2
Tibialis Anterior (%),1259,2585,938,3255,5905,2650,success,S12,3
Gastrocnemius Medialis (%),1778,2585,938,4596,8339,3743,success,S12,3
Gastrocnemius Lateralis (%),1778,2585,938,4596,8339,3743,success,S12,3
Rectus Femoris (%),1259,2585,938,3255,5905,2650,success,S12,3
Vastus Lateralis (%),1778,2585,938,4596,8339,3743,success,S12,3
Vastus Medialis (%),1778,2585,938,4596,8339,3743,success,S12,3
Semitendinosus (%),1259,2585,938,3255,5905,2650,success,S12,3
Bicep Femoris (%),1259,2585,938,3255,5905,2650,success,S12,3
Tibialis Anterior (%),1259,1679,940,2114,5917,3803,success,S12,4
Gastrocnemius Medialis (%),1778,1679,940,2985,8357,5372,success,S12,4
Gastrocnemius Lateralis (%),1778,1679,940,2985,8357,5372,success,S12,4
Rectus Femoris (%),1259,1679,940,2114,5917,3803,success,S12,4
Vastus Lateralis (%),1778,1679,940,2985,8357,5372,success,S12,4
Vastus Medialis (%),1778,1679,940,2985,8357,5372,success,S12,4
Semitendinosus (%),1259,1679,940,2114,5917,3803,success,S12,4
Bicep Femoris (%),1259,1679,940,2114,5917,3803,success,S12,4
Tibialis Anterior (%),1259,3903,1196,4914,7529,2615,success,S12,5
Gastrocnemius Medialis (%),1778,3903,1196,6940,10632,3692,success,S12,5
Gastrocnemius Lateralis (%),1778,3903,1196,6940,10632,3692,success,S12,5
Rectus Femoris (%),1259,3903,1196,4914,7529,2615,success,S12,5
Vastus Lateralis (%),1778,3903,1196,6940,10632,3692,success,S12,5
Vastus Medialis (%),1778,3903,1196,6940,10632,3692,success,S12,5
Semitendinosus (%),1259,3903,1196,4914,7529,2615,success,S12,5
Bicep Femoris (%),1259,3903,1196,4914,7529,2615,success,S12,5
Tibialis Anterior (%),1259,3794,1215,4777,7648,2871,success,S15,1
Gastrocnemius Medialis (%),1778,3794,1215,6746,10801,4055,success,S15,1
Gastrocnemius Lateralis (%),1778,3794,1215,6746,10801,4055,success,S15,1
Rectus Femoris (%),1259,3794,1215,4777,7648,2871,success,S15,1
Vastus Lateralis (%),1778,3794,1215,6746,10801,4055,success,S15,1
Vastus Medialis (%),1778,3794,1215,6746,10801,4055,success,S15,1
Semitendinosus (%),1259,3794,1215,4777,7648,2871,success,S15,1
Bicep Femoris (%),1259,3794,1215,4777,7648,2871,success,S15,1
Tibialis Anterior (%),1259,929,1202,1170,7567,6397,success,S15,2
Gastrocnemius Medialis (%),1778,929,1202,1652,10686,9034,success,S15,2
Gastrocnemius Lateralis (%),1778,929,1202,1652,10686,9034,success,S15,2
Rectus Femoris (%),1259,929,1202,1170,7567,6397,success,S15,2
Vastus Lateralis (%),1778,929,1202,1652,10686,9034,success,S15,2
Vastus Medialis (%),1778,929,1202,1652,10686,9034,success,S15,2
Semitendinosus (%),1259,929,1202,1170,7567,6397,success,S15,2
Bicep Femoris (%),1259,929,1202,1170,7567,6397,success,S15,2
Tibialis Anterior (%),1259,2833,1130,3567,7113,3546,success,S15,3
Gastrocnemius Medialis (%),1778,2833,1130,5037,10046,5009,success,S15,3
Gastrocnemius Lateralis (%),1778,2833,1130,5037,10046,5009,success,S15,3
Rectus Femoris (%),1259,2833,1130,3567,7113,3546,success,S15,3
Vastus Lateralis (%),1778,2833,1130,5037,10046,5009,success,S15,3
Vastus Medialis (%),1778,2833,1130,5037,10046,5009,success,S15,3
Semitendinosus (%),1259,2833,1130,3567,7113,3546,success,S15,3
Bicep Femoris (%),1259,2833,1130,3567,7113,3546,success,S15,3
Tibialis Anterior (%),1259,3707,1201,4667,7560,2893,success,S15,4
Gastrocnemius Medialis (%),1778,3707,1201,6591,10677,4086,success,S15,4
Gastrocnemius Lateralis (%),1778,3707,1201,6591,10677,4086,success,S15,4
Rectus Femoris (%),1259,3707,1201,4667,7560,2893,success,S15,4
Vastus Lateralis (%),1778,3707,1201,6591,10677,4086,success,S15,4
Vastus Medialis (%),1778,3707,1201,6591,10677,4086,success,S15,4
Semitendinosus (%),1259,3707,1201,4667,7560,2893,success,S15,4
Bicep Femoris (%),1259,3707,1201,4667,7560,2893,success,S15,4
Tibialis Anterior (%),1259,3251,954,4093,6005,1912,success,S16,1
Gastrocnemius Medialis (%),1778,3251,954,5780,8481,2701,success,S16,1
Gastrocnemius Lateralis (%),1778,3251,954,5780,8481,2701,success,S16,1
Rectus Femoris (%),1259,3251,954,4093,6005,1912,success,S16,1
Vastus Lateralis (%),1778,3251,954,5780,8481,2701,success,S16,1
Vastus Medialis (%),1778,3251,954,5780,8481,2701,success,S16,1
Semitendinosus (%),1259,3251,954,4093,6005,1912,success,S16,1
Bicep Femoris (%),1259,3251,954,4093,6005,1912,success,S16,1
Tibialis Anterior (%),1259,3784,1040,4764,6547,1783,success,S16,2
Gastrocnemius Medialis (%),1778,3784,1040,6728,9246,2518,success,S16,2
Gastrocnemius Lateralis (%),1778,3784,1040,6728,9246,2518,success,S16,2
Rectus Femoris (%),1259,3784,1040,4764,6547,1783,success,S16,2
Vastus Lateralis (%),1778,3784,1040,6728,9246,2518,success,S16,2
Vastus Medialis (%),1778,3784,1040,6728,9246,2518,success,S16,2
Semitendinosus (%),1259,3784,1040,4764,6547,1783,success,S16,2
Bicep Femoris (%),1259,3784,1040,4764,6547,1783,success,S16,2
Tibialis Anterior (%),1259,3622,993,4560,6251,1691,success,S16,3
Gastrocnemius Medialis (%),1778,3622,993,6440,8828,2388,success,S16,3
Gastrocnemius Lateralis (%),1778,3622,993,6440,8828,2388,success,S16,3
Rectus Femoris (%),1259,3622,993,4560,6251,1691,success,S16,3
Vastus Lateralis (%),1778,3622,993,6440,8828,2388,success,S16,3
Vastus Medialis (%),1778,3622,993,6440,8828,2388,success,S16,3
Semitendinosus (%),1259,3622,993,4560,6251,1691,success,S16,3
Bicep Femoris (%),1259,3622,993,4560,6251,1691,success,S16,3
Tibialis Anterior (%),1259,3699,1015,4657,6389,1732,success,S16,4
Gastrocnemius Medialis (%),1778,3699,1015,6577,9023,2446,success,S16,4
Gastrocnemius Lateralis (%),1778,3699,1015,6577,9023,2446,success,S16,4
Rectus Femoris (%),1259,3699,1015,4657,6389,1732,success,S16,4
Vastus Lateralis (%),1778,3699,1015,6577,9023,2446,success,S16,4
Vastus Medialis (%),1778,3699,1015,6577,9023,2446,success,S16,4
Semitendinosus (%),1259,3699,1015,4657,6389,1732,success,S16,4
Bicep Femoris (%),1259,3699,1015,4657,6389,1732,success,S16,4
Tibialis Anterior (%),1259,4242,1149,5341,7233,1892,success,S16,5
Gastrocnemius Medialis (%),1778,4242,1149,7542,10215,2673,success,S16,5
Gastrocnemius Lateralis (%),1778,4242,1149,7542,10215,2673,success,S16,5
Rectus Femoris (%),1259,4242,1149,5341,7233,1892,success,S16,5
